Time,Z-axis
1775625798.7760417,-1748
1775625798.8761392,-1708
1775625798.975984,-1720
1775625799.0759766,-1596
1775625799.1758084,-1776
1775625799.2759616,-1652
1775625799.3762524,-1696
1775625799.4759502,-1588
1775625799.5760531,-1792
1775625799.6760094,-1668
1775625799.77597,-1748
1775625799.876011,-1660
1775625799.9759088,-1772
1775625800.0757494,-1664
1775625800.176074,-1788
1775625800.2750533,-1584
1775625800.3747256,-1748
1775625800.4753597,-1560
1775625800.5750194,-1660
1775625800.6748126,-1488
1775625800.7755291,-1696
1775625800.8751225,-1544
1775625800.9766004,-1692
1775625801.0760114,-1408
1775625801.176543,-1764
1775625801.275949,1880
1775625801.375892,-2620
1775625801.4759557,-5444
1775625801.5759242,1592
1775625801.6759186,5428
1775625801.776266,7780
1775625801.8759565,8244
1775625801.975737,9580
1775625802.0763066,9168
1775625802.1759715,7996
1775625802.2754576,8072
1775625802.3744926,6316
1775625802.474532,4108
1775625802.5746107,5628
1775625802.6744738,6284
1775625802.7744982,15052
1775625802.8753405,15412
1775625802.9748604,12404
1775625803.0761218,11616
1775625803.1757913,10820
1775625803.2761545,15928
1775625803.3761451,13912
1775625803.475768,14316
1775625803.5759125,12980
1775625803.6759365,15192
1775625803.7758048,13400
1775625803.8761659,13320
1775625803.9757347,12604
1775625804.0759137,12404
1775625804.1759176,13056
1775625804.2762613,13684
1775625804.3758817,14052
1775625804.4759133,12312
1775625804.575117,12908
1775625804.6750917,13360
1775625804.77547,13052
1775625804.874809,20048
1775625804.9749691,9292
1775625805.075114,4664
1775625805.17601,2084
1775625805.2760053,1460
1775625805.3760755,1800
1775625805.476463,-4
1775625805.5758698,-2416
1775625805.6758387,-1212
1775625805.775865,972
1775625805.8758922,-3544
1775625805.9758306,-3932
1775625806.0759401,-4608
1775625806.1759074,-6364
1775625806.2758427,-6128
1775625806.3758674,-4892
1775625806.4756672,-4672
1775625806.575794,-4616
1775625806.6758754,-4948
1775625806.7750442,-5876
1775625806.8749464,-5736
1775625806.97498,-11448
1775625807.075089,-6648
1775625807.175012,-304
1775625807.2760515,5148
1775625807.3761384,7412
1775625807.4764163,5228
1775625807.5759547,5596
1775625807.6761265,4876
1775625807.776243,3556
1775625807.8758245,4012
1775625807.9759562,3904
1775625808.075876,4364
1775625808.1757865,3856
1775625808.275704,3380
1775625808.3757184,3440
1775625808.4758792,3812
1775625808.5758088,1716
1775625808.6757226,8060
1775625808.7756069,796
1775625808.875021,-8020
1775625808.9748912,-668
1775625809.0751715,-6876
1775625809.174748,-9128
1775625809.2750528,-6964
1775625809.3757796,-9600
1775625809.4759197,-872
1775625809.575672,2620
1775625809.6759615,3688
1775625809.776021,6028
1775625809.8758574,6476
1775625809.9757693,3428
1775625810.0757315,-340
1775625810.1756864,-3644
1775625810.275665,-6488
1775625810.3756318,768
1775625810.4756489,5364
1775625810.576097,2684
1775625810.6758304,11524
1775625810.7758794,-5440
1775625810.8756764,-896
1775625810.9760501,1200
1775625811.0752046,-2720
1775625811.1751373,372
1775625811.2750585,-1360
1775625811.3750186,-800
1775625811.4756913,-740
1775625811.5757744,-1220
1775625811.6757028,-652
1775625811.7761858,-1040
1775625811.8761945,-1084
1775625811.9755912,-828
1775625812.0758767,-1152
1775625812.1755776,-880
1775625812.2755642,-1152
1775625812.375714,-1084
1775625812.475783,-904
